@relation responses_discretized-weka.filters.unsupervised.attribute.Remove-R1

@attribute SalaryUSD {Low,'Very High',High,'Very Low',Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute PopulationOfLargestCityWithin20Miles {t,m,C,c,T}
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute EducationIsComputerRelated {Yes,No}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
Low,USA,O,1,E,AN,Y,1,?,0,?,SG,?,?,4,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',Canada,M,5,E,DA,N,5,?,1,?,PB,?,?,5,'Associates (2 years)',Yes,N,35,five
Low,USA,M,5,E,?,N,5,?,0,?,PB,?,?,8,Masters,Yes,N,41,zero
Mid,USA,M,5,E,DA,N,5,?,0,?,PB,?,?,2,'Bachelors (4 years)',No,N,45,zero
'Very Low',Poland,M,5,E,DT,N,1,?,0,?,PB,?,?,10,Masters,Yes,YesValid,40,one
High,USA,M,12,E,DBA,Y,1,?,0,?,PB,?,?,20,'Bachelors (4 years)',Yes,N,42,zero
'Very Low',South-Africa,M,7,EC,DBA,N,5,?,1,?,PB,?,?,60,'Bachelors (4 years)',No,YesValid,40,one
Mid,USA,M,13,E,DBA,N,4,?,3,?,PB,?,?,20,Masters,No,N,40,five
'Very Low',USA,M,1,E,DT,N,1,?,0,?,PB,?,?,15,'Bachelors (4 years)',No,N,40,zero
Low,USA,M,2,E,DBA,N,0,?,1,?,PB,?,?,3,'Bachelors (4 years)',Yes,N,42,zero
'Very High',USA,M,13,E,M,Y,10,?,2,?,PB,?,?,5,Masters,No,N,60,zero
'Very Low',UK,M,15,E,M,N,3,?,0,?,PB,?,?,2,'None (no degree completed)',?,YesExpired,38,zero
High,USA,M,25,E,DBA,N,3,?,2,?,PB,?,?,150,'Bachelors (4 years)',Yes,YesExpired,40,zero
'Very Low',Lithuania,M,12,E,DT,N,2,?,2,?,PB,?,?,3,'Bachelors (4 years)',Yes,YesExpired,35,one
'Very Low',USA,M,1,E,AN,N,1,?,1,?,PB,?,?,4,'Bachelors (4 years)',Yes,N,45,zero
'Very High',USA,M,25,E,A,Y,2,?,0,?,PB,?,?,10,'Bachelors (4 years)',Yes,YesValid,42,zero
Low,USA,M,1,E,DBA,N,1,?,1,?,SG,?,?,10,Masters,No,N,60,five
Low,Ireland,M,10,EC,DBA,N,2,?,2,?,PB,?,?,50,'Bachelors (4 years)',Yes,YesValid,38,zero
Low,USA,M,8,E,AN,Y,8,?,0,?,LG,?,?,27,'Bachelors (4 years)',Yes,N,38,zero
Low,USA,M,5,E,DA,N,3,?,1,?,SG,?,?,3,Masters,Yes,N,40,one
Low,UK,M,15,E,M,Y,6,?,6,?,LG,?,?,2,Masters,Yes,YesExpired,39,five
Mid,USA,M,8,E,DBA,N,2,?,1,?,PB,?,?,120,'Bachelors (4 years)',No,YesValid,40,one
Low,USA,M,8,E,?,N,8,?,0,?,PB,?,?,3,'Associates (2 years)',Yes,N,40,zero
High,USA,M,28,E,D,N,20,?,0,?,PB,?,?,1,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,M,3,E,DA,N,3,?,1,?,PB,?,?,1,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,M,6,E,DA,N,8,?,3,?,PB,?,?,20,'Bachelors (4 years)',Yes,N,40,zero
Mid,USA,M,6,E,DBA,N,4,?,2,?,PB,?,?,100,'Bachelors (4 years)',Yes,N,36,zero
'Very Low',UK,M,8,E,D,N,2,?,1,?,PB,?,?,10,'Bachelors (4 years)',No,YesValid,40,zero
'Very Low',Netherlands,M,5,EC,?,N,6,?,5,?,PB,?,?,50,Masters,No,YesValid,40,zero
Mid,USA,M,13,E,DBA,N,15,?,1,?,FG,?,?,3,'Bachelors (4 years)',Yes,YesValid,40,zero
Low,Canada,M,16,E,DBA,N,15,?,0,?,PB,?,?,15,'Associates (2 years)',Yes,N,40,zero
'Very Low',USA,M,2,E,AN,N,2,?,2,?,FG,?,?,50,'Bachelors (4 years)',Yes,YesValid,40,one
Mid,USA,M,10,E,DBA,N,1,?,1,?,LG,?,?,45,Masters,Yes,YesExpired,40,zero
'Very High',Switzerland,?,10,E,D,N,4,?,0,?,PB,?,?,3,Masters,No,N,55,zero
'Very High',USA,M,20,E,DBA,Y,10,?,0,?,PB,?,?,20,'None (no degree completed)',?,YesExpired,55,zero
'Very Low',Slovenia,M,2,I,DBA,N,2,?,1,?,PB,?,?,28,'Bachelors (4 years)',No,YesExpired,40,two
'Very High',USA,M,15,E,DBA,N,20,?,1,?,PB,?,?,50,'Bachelors (4 years)',Yes,YesValid,40,zero
Mid,USA,M,10,E,AN,N,9,?,0,?,PB,?,?,15,'Bachelors (4 years)',No,N,50,zero
Mid,USA,M,2,E,AN,N,2,?,3,?,PB,?,?,2,'Bachelors (4 years)',No,N,36,one
High,USA,M,15,E,DBA,N,15,?,5,?,PB,?,?,25,'None (no degree completed)',?,N,42,one
Low,Switzerland,M,13,E,DBA,N,2,?,4,?,PB,?,?,1500,'Bachelors (4 years)',Yes,YesValid,43,zero
'Very Low',Canada,M,8,E,DBA,N,3,?,1,?,FG,?,?,6,'Associates (2 years)',Yes,N,40,zero
'Very High',USA,M,17,E,DBA,N,17,?,3,?,PB,?,?,125,Masters,Yes,N,55,five
Mid,USA,M,15,E,M,Y,23,?,1,?,PB,?,?,10,'Bachelors (4 years)',Yes,N,40,one
'Very High',USA,M,16,E,DBA,N,16,?,4,?,PB,?,?,200,'None (no degree completed)',?,N,40,zero
Low,USA,M,3,E,DBA,N,2,?,0,?,PB,?,?,6,'None (no degree completed)',?,N,40,zero
Low,USA,T,4,E,AN,N,4,?,2,?,PB,?,?,6,'Bachelors (4 years)',No,N,42,zero
High,USA,M,5,E,E,N,5,?,6,?,PB,?,?,15,'None (no degree completed)',?,N,40,zero
Mid,USA,M,20,E,DBA,N,9,?,1,?,PB,?,?,25,Masters,Yes,N,45,four
High,USA,M,16,E,DBA,N,10,?,0,?,PB,?,?,325,Masters,Yes,YesExpired,50,four
'Very Low',India,M,6,E,DBA,Y,4,?,0,?,PB,?,?,4,'Bachelors (4 years)',No,YesExpired,60,zero
Mid,USA,M,5,E,DBA,N,3,?,0,?,PB,?,?,25,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very High',USA,O,10,E,M,Y,2,?,0,?,PB,?,?,50,'Bachelors (4 years)',No,YesExpired,50,zero
'Very Low',UK,M,12,E,DBA,N,9,?,0,?,LG,?,?,205,'Bachelors (4 years)',No,YesExpired,37,zero
'Very High',USA,M,10,E,DBA,N,1,?,5,?,PB,?,?,500,'Bachelors (4 years)',No,N,50,zero
'Very Low',USA,M,4,E,D,N,1,?,4,?,PB,?,?,3,'Bachelors (4 years)',No,N,40,zero
Mid,USA,M,3,E,DBA,N,3,?,6,?,PB,?,?,1000,'Bachelors (4 years)',No,N,45,five
High,USA,M,28,E,DA,Y,16,?,0,?,PB,?,?,10,Masters,No,N,50,one
Mid,USA,M,2,E,DBA,N,2,?,1,?,PB,?,?,65,'Bachelors (4 years)',Yes,YesExpired,50,one
'Very Low',Romania,M,12,E,DBA,Y,12,?,2,?,PB,?,?,50,'None (no degree completed)',?,YesValid,50,zero
Low,USA,M,3,E,DBA,N,3,?,6,?,PB,?,?,150,'Bachelors (4 years)',Yes,YesExpired,45,two
Mid,USA,M,10,E,DBA,Y,5,?,1,?,SG,?,?,25,'Associates (2 years)',Yes,YesExpired,40,zero
Mid,USA,M,7,E,M,Y,10,?,0,?,PB,?,?,4,'Bachelors (4 years)',No,YesExpired,55,one
High,USA,M,18,E,DBA,Y,8,?,4,?,PB,?,?,52,'Bachelors (4 years)',Yes,YesExpired,60,five
High,USA,M,15,E,DBA,N,2,?,6,?,PB,?,?,1200,'Associates (2 years)',Yes,YesValid,40,five
Low,Denmark,?,5,EC,?,N,5,?,6,?,PB,?,?,10,'Bachelors (4 years)',Yes,N,37,zero
'Very High',USA,RDS,1,E,A,Y,13,?,0,?,PB,?,?,5000,'Bachelors (4 years)',Yes,YesValid,35,one
'Very High',USA,M,12,E,M,Y,12,?,0,?,PB,?,?,15,'Bachelors (4 years)',Yes,N,50,zero
'Very Low',USA,M,6,E,DBA,N,6,?,0,?,PB,?,?,8,'None (no degree completed)',?,N,40,zero
Mid,USA,M,8,E,DBA,N,7,?,1,?,SG,?,?,15,'Bachelors (4 years)',Yes,N,50,zero
Low,USA,M,1,E,E,N,1,?,6,?,PB,?,?,4,Masters,Yes,YesExpired,43,one
'Very High',USA,MDB,1,E,DA,N,5,?,0,?,PB,?,?,36,Masters,Yes,N,40,zero
Mid,USA,M,7,E,DBA,N,7,?,2,?,PB,?,?,500,'Bachelors (4 years)',Yes,YesValid,40,zero
Mid,USA,M,10,E,D,Y,15,?,5,?,PB,?,?,5,'Bachelors (4 years)',Yes,N,45,three
'Very High',USA,M,1,E,DBA,N,10,?,1,?,PB,?,?,20,'Bachelors (4 years)',Yes,N,40,one
Mid,USA,M,6,E,DBA,N,2,?,0,?,PB,?,?,22,'Bachelors (4 years)',Yes,N,42,zero
Mid,USA,M,6,E,DBA,N,6,?,0,?,PB,?,?,6,'Bachelors (4 years)',Yes,N,45,zero
'Very High',USA,M,18,E,DBA,N,8,?,5,?,PB,?,?,500,'Bachelors (4 years)',No,N,45,one
Mid,USA,M,2,E,DBA,N,1,?,3,?,PB,?,?,300,'Bachelors (4 years)',Yes,N,40,zero
High,USA,M,30,E,DBA,N,12,?,0,?,SG,?,?,30,'Bachelors (4 years)',Yes,YesExpired,40,zero
Mid,USA,M,8,E,D,Y,2,?,0,?,PB,?,?,3,'Bachelors (4 years)',Yes,YesValid,42,zero
Low,USA,M,14,E,D,N,4,?,1,?,PB,?,?,15,'Bachelors (4 years)',Yes,N,45,zero
High,USA,M,6,E,DBA,N,5,?,6,?,SG,?,?,240,'Bachelors (4 years)',Yes,N,40,zero
'Very High',USA,M,17,E,DBA,N,17,?,4,?,PB,?,?,80,'None (no degree completed)',?,YesExpired,45,two
Low,USA,M,10,E,M,N,0,?,0,?,PB,?,?,15,'Associates (2 years)',?,N,55,five
Mid,USA,M,10,E,DBA,Y,3,?,1,?,PB,?,?,20,Masters,Yes,YesValid,38,five
'Very Low',Peru,SQLI,10,E,DBA,N,6,?,3,?,PB,?,?,100,'Associates (2 years)',Yes,YesValid,43,zero
Mid,USA,M,4,E,AN,N,5,?,2,?,PB,?,?,20,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',UK,M,15,E,DBA,N,1,?,4,?,PB,?,?,400,Doctorate/PhD,No,YesValid,40,one
High,USA,M,18,E,DBA,N,0,?,0,?,PB,?,?,90,'Bachelors (4 years)',No,N,40,zero
High,USA,M,15,E,DBA,N,15,?,0,?,PB,?,?,90,'Bachelors (4 years)',Yes,YesExpired,40,zero
Low,Australia,M,15,E,DBA,Y,6,?,1,?,SG,?,?,50,'Bachelors (4 years)',Yes,N,40,zero
'Very High',USA,M,16,E,M,Y,5,?,0,?,PB,?,?,8,Masters,No,N,45,zero
Low,Finland,O,13,E,D,N,8,?,1,?,PB,?,?,3,'Bachelors (4 years)',Yes,N,45,zero
'Very Low',Italy,M,4,EC,DBA,N,4,?,2,?,PB,?,?,3000,'Bachelors (4 years)',Yes,N,40,zero
High,USA,M,17,I,?,Y,17,?,1,?,PB,?,?,50,'Bachelors (4 years)',No,YesExpired,50,zero
High,USA,O,19,E,DBA,N,12,?,5,?,SG,?,?,150,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very Low',Mexico,M,2,EC,DBA,N,2,?,4,?,PB,?,?,300,'Bachelors (4 years)',Yes,YesValid,40,zero
High,USA,M,11,E,DBA,N,22,?,1,?,PB,?,?,200,'None (no degree completed)',?,N,45,two
Mid,USA,M,10,E,DBA,N,10,?,1,?,SG,?,?,210,'Bachelors (4 years)',Yes,N,42,zero
'Very High',USA,M,10,E,M,Y,5,?,0,?,SG,?,?,15,Doctorate/PhD,Yes,YesExpired,40,zero
Low,USA,M,15,E,AN,N,1,?,1,?,PB,?,?,20,'Bachelors (4 years)',Yes,YesExpired,40,one
Mid,USA,M,6,E,DBA,N,4,?,1,?,PB,?,?,10,'Bachelors (4 years)',Yes,N,35,zero
'Very Low',India,M,6,E,E,Y,4,?,1,?,PB,?,?,5,'Bachelors (4 years)',No,YesExpired,70,zero
Low,Netherlands,M,8,EC,D,Y,10,?,6,?,PB,?,?,30,Masters,Yes,YesValid,40,zero
Mid,USA,O,10,E,DBA,N,20,?,4,?,PB,?,?,200,'Bachelors (4 years)',Yes,N,45,zero
'Very High',USA,M,12,E,M,Y,10,?,0,?,PB,?,?,5,'Bachelors (4 years)',Yes,YesExpired,60,one
'Very High',Australia,T,15,I,A,Y,3,?,0,?,SG,?,?,5,'Bachelors (4 years)',?,YesValid,40,zero
'Very High',USA,M,20,E,DA,N,8,?,0,?,PB,?,?,4,'Bachelors (4 years)',Yes,YesExpired,40,zero
Low,UK,M,12,E,DBA,N,2,?,0,?,PB,?,?,200,'Bachelors (4 years)',No,N,39,zero
'Very High',USA,M,20,E,M,Y,10,?,0,?,PB,?,?,10,'Bachelors (4 years)',Yes,YesExpired,40,five
Low,USA,M,2,E,D,N,2,?,2,?,PB,?,?,4,Masters,Yes,N,45,zero
'Very Low',UK,M,16,E,DBA,Y,4,?,2,?,FG,?,?,150,'Bachelors (4 years)',No,N,42,zero
Low,USA,M,2,E,DA,N,1,?,3,?,PB,?,?,10,'Bachelors (4 years)',No,N,42,zero
'Very Low',UK,M,6,E,DBA,N,6,?,2,?,PB,?,?,200,'Associates (2 years)',Yes,N,40,zero
'Very Low',Ireland,T,1,EC,AN,Y,1,?,6,?,PB,?,?,5,'Bachelors (4 years)',Yes,N,40,zero
Low,Australia,M,2,E,AN,N,1,?,1,?,PB,?,?,2,Masters,No,YesValid,40,two
'Very Low',USA,M,10,E,DS,Y,12,?,0,?,SG,?,?,3,Masters,No,N,40,zero
Low,Australia,?,1,E,M,Y,3,?,0,?,PB,?,?,6,'Bachelors (4 years)',No,YesValid,40,zero
'Very High',USA,O,18,E,M,N,1,?,0,?,PB,?,?,1500,'Bachelors (4 years)',No,YesValid,45,five
'Very High',USA,M,8,E,M,Y,3,?,0,?,PB,?,?,8,Masters,Yes,N,40,zero
'Very High',USA,M,18,E,A,Y,4,?,0,?,PB,?,?,6,'Associates (2 years)',?,YesExpired,55,zero
High,USA,M,20,E,M,Y,4,?,0,?,PB,?,?,12,'Bachelors (4 years)',Yes,YesExpired,45,zero
High,Canada,M,14,E,DBA,N,21,?,1,?,SG,?,?,36,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,M,3,E,AN,N,3,?,5,?,PB,?,?,10000,'Bachelors (4 years)',Yes,YesValid,40,zero
Low,USA,M,4,E,?,N,5,?,3,?,PB,?,?,50,'Bachelors (4 years)',No,YesValid,40,five
High,USA,M,13,E,DBA,N,13,?,0,?,PB,?,?,100,'Bachelors (4 years)',Yes,N,50,five
Mid,USA,M,5,E,DBA,N,5,?,2,?,PB,?,?,300,Masters,Yes,N,50,two
High,USA,M,15,E,DBA,N,6,?,5,?,PB,?,?,700,'Bachelors (4 years)',Yes,YesExpired,45,five
'Very High',USA,M,15,E,DBA,N,8,?,0,?,FG,?,?,0,'Bachelors (4 years)',No,N,40,zero
High,USA,M,12,E,AN,N,14,?,1,?,PB,?,?,4,'Bachelors (4 years)',No,YesValid,50,one
'Very Low',USA,M,14,E,DT,N,14,?,3,?,PB,?,?,4,'None (no degree completed)',?,N,40,zero
Mid,USA,M,6,E,DBA,N,3,?,1,?,PB,?,?,140,'Bachelors (4 years)',No,YesValid,40,zero
Mid,USA,M,3,E,DBA,Y,1,?,1,?,FG,?,?,30,'Associates (2 years)',Yes,YesValid,44,zero
'Very Low',UK,M,10,E,DT,Y,8,?,1,?,PB,?,?,7,'None (no degree completed)',?,N,40,zero
High,USA,M,19,E,DBA,N,20,?,1,?,PB,?,?,20,'Bachelors (4 years)',No,YesExpired,43,zero
Mid,USA,M,10,E,DBA,N,6,?,0,?,PB,?,?,20,'Associates (2 years)',Yes,N,48,zero
'Very High',USA,?,7,E,E,N,4,?,6,?,PB,?,?,5,'Bachelors (4 years)',No,N,50,zero
Low,USA,M,4,E,DBA,N,1,?,1,?,PB,?,?,45,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very Low',USA,T,1,E,D,N,1,?,3,?,PB,?,?,2,'Bachelors (4 years)',No,YesValid,45,one
'Very High',USA,M,15,I,DBA,Y,6,?,3,?,PB,?,?,200,'None (no degree completed)',?,YesExpired,50,five
'Very High',USA,M,18,E,DBA,N,11,?,4,?,PB,?,?,350,'None (no degree completed)',?,N,55,two
'Very High',USA,M,5,E,D,Y,5,?,1,?,PB,?,?,2,'Bachelors (4 years)',Yes,N,40,zero
Low,USA,M,1,E,AN,N,1,?,2,?,PB,?,?,5,Masters,No,N,36,zero
'Very Low',Brazil,M,6,E,?,Y,1,?,4,?,PB,?,?,10,'Bachelors (4 years)',Yes,YesExpired,40,zero
'Very High',USA,M,15,E,A,N,20,?,0,?,PB,?,?,300,'None (no degree completed)',?,YesExpired,50,five
Mid,USA,P,0,E,AN,N,0,?,6,?,PB,?,?,10,'Bachelors (4 years)',No,N,45,zero
High,USA,M,10,E,D,N,12,?,0,?,PB,?,?,11,'Bachelors (4 years)',No,YesValid,45,zero
'Very High',USA,M,13,E,DBA,N,13,?,4,?,PB,?,?,40,'Bachelors (4 years)',Yes,YesExpired,45,two
'Very Low',Singapore,M,10,E,DT,N,4,?,0,?,PB,?,?,3,'None (no degree completed)',No,YesExpired,40,zero
High,USA,M,8,E,DBA,Y,8,?,1,?,PB,?,?,110,'Bachelors (4 years)',Yes,YesValid,40,five
High,USA,M,11,E,M,Y,2,?,0,?,PB,?,?,12,'Associates (2 years)',Yes,YesValid,45,zero
'Very High',USA,M,15,E,DBA,N,1,?,3,?,PB,?,?,150,'Bachelors (4 years)',Yes,N,45,zero
'Very High',USA,M,12,EC,A,N,2,?,3,?,PB,?,?,6,'Bachelors (4 years)',Yes,YesValid,50,zero
Low,USA,M,14,E,DBA,N,1,?,2,?,LG,?,?,60,'None (no degree completed)',?,N,40,zero
Mid,USA,M,15,EC,A,N,9,?,1,?,PB,?,?,25,'None (no degree completed)',?,N,50,four
Mid,New-Zealand,M,10,EC,D,Y,3,?,0,?,PB,?,?,30,'Bachelors (4 years)',Yes,YesValid,42,zero
Mid,USA,M,10,E,DBA,N,8,?,5,?,PB,?,?,150,'Bachelors (4 years)',Yes,N,50,one
'Very Low',CzechRepublic,M,12,E,DT,N,15,?,1,?,PB,?,?,8,'Associates (2 years)',?,YesValid,3,zero
'Very Low',Netherlands,M,15,E,DBA,N,5,?,6,?,PB,?,?,500,'Bachelors (4 years)',No,YesValid,60,two
'Very Low',India,M,6,E,DBA,Y,6,?,0,?,PB,?,?,157,Masters,Yes,YesExpired,50,one
'Very Low',South-Africa,M,4,E,DA,N,2,?,2,?,PB,?,?,4,'Associates (2 years)',Yes,YesExpired,40,zero
'Very Low',Russia,M,4,E,DA,N,4,?,6,?,PB,?,?,4,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',Russia,M,4,E,DA,N,4,?,6,?,PB,?,?,4,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',Poland,M,5,E,E,Y,5,?,6,?,PB,?,?,500,Masters,Yes,N,40,zero
Low,South-Africa,M,17,E,DT,N,17,?,1,?,PB,?,?,4,'Bachelors (4 years)',Yes,YesValid,45,zero
High,UK,M,8,E,DT,N,3,?,6,?,PB,?,?,2,Masters,Yes,YesValid,35,two
'Very Low',Austria,?,2,E,D,N,2,?,0,?,PB,?,?,10,'Associates (2 years)',?,YesValid,38,zero
Low,Israel,M,20,E,DBA,N,3,?,5,?,PB,?,?,30,Masters,No,N,45,zero
'Very Low',Finland,M,20,E,A,Y,4,?,1,?,PB,?,?,10,'Bachelors (4 years)',Yes,YesExpired,30,one
'Very Low',UK,M,6,E,DBA,N,2,?,1,?,PB,?,?,150,Masters,Yes,N,45,zero
'Very Low',UK,M,6,E,DT,N,5,?,6,?,PB,?,?,500,'Bachelors (4 years)',No,N,42,zero
'Very Low',India,M,4,E,DBA,N,5,?,6,?,PB,?,?,8,'Bachelors (4 years)',Yes,N,38,zero
'Very Low',Germany,M,1,E,DBA,N,1,?,3,?,PB,?,?,73,Masters,Yes,N,40,zero
'Very Low',Sweden,M,10,E,DBA,N,10,?,3,?,PB,?,?,80,'None (no degree completed)',?,N,40,three
Mid,Germany,M,12,E,AN,N,17,?,5,?,PB,?,?,250,Masters,No,N,40,zero
'Very Low',Spain,M,1,E,D,N,1,?,1,?,PB,?,?,2,'None (no degree completed)',?,N,30,zero
Mid,Australia,M,10,EC,DBA,Y,10,?,4,?,FG,?,?,250,Masters,Yes,YesExpired,35,five
'Very Low',France,M,8,EC,DBA,N,5,?,0,?,PB,?,?,50,'Associates (2 years)',Yes,YesValid,38,zero
'Very Low',Ireland,M,3,EC,DBA,N,1,?,2,?,PB,?,?,100,'Bachelors (4 years)',Yes,YesValid,40,one
'Very Low',UK,M,10,E,D,N,3,?,1,?,SG,?,?,5,'None (no degree completed)',?,YesValid,37,zero
'Very Low',UK,M,5,E,DBA,N,5,?,6,?,PB,?,?,400,'Bachelors (4 years)',Yes,N,38,one
'Very Low',UK,M,23,E,DBA,Y,4,?,1,?,PB,?,?,47,'Associates (2 years)',Yes,N,30,zero
'Very Low',Ireland,M,6,E,DBA,N,2,?,0,?,PB,?,?,6,'Bachelors (4 years)',Yes,YesValid,40,zero
'Very High',USA,M,17,E,M,Y,3,?,2,?,PB,?,?,150,'Bachelors (4 years)',Yes,N,45,zero
'Very Low',UK,M,10,E,DBA,N,4,?,1,?,PB,?,?,150,'None (no degree completed)',No,N,40,zero
Mid,Belgium,SAP,1,I,A,N,1,?,6,?,PB,?,?,2,Doctorate/PhD,No,N,40,three
High,UK,M,11,E,A,N,4,?,0,?,PB,?,?,15,'Associates (2 years)',Yes,YesValid,38,one
Mid,USA,M,15,E,A,N,2,?,0,?,PB,?,?,100,'Bachelors (4 years)',No,N,45,zero
'Very High',USA,M,12,EC,A,Y,3,?,5,?,PB,?,?,100,'Bachelors (4 years)',Yes,YesValid,50,two
'Very Low',Germany,M,5,EC,DBA,N,1,?,1,?,PB,?,?,30,Masters,No,N,40,zero
'Very Low',UK,M,3,E,DBA,N,2,?,0,?,PB,?,?,8,'None (no degree completed)',?,N,45,zero
'Very Low',UK,M,4,E,DBA,N,4,?,1,?,FG,?,?,150,'None (no degree completed)',?,N,36,zero
'Very Low',France,M,16,E,DBA,N,16,?,0,?,PB,?,?,4,'Associates (2 years)',Yes,N,42,zero
Mid,Ireland,O,17,E,DBA,N,19,?,1,?,PB,?,?,50,'Bachelors (4 years)',Yes,YesExpired,44,zero
Mid,UK,M,18,I,DT,N,18,?,0,?,PB,?,?,10,'None (no degree completed)',?,N,35,zero
Mid,USA,M,16,E,DT,N,10,?,0,?,PB,?,?,5,'Bachelors (4 years)',Yes,N,41,zero
'Very Low',CzechRepublic,M,4,E,A,N,1,?,1,?,PB,?,?,250,Masters,Yes,N,40,zero
Mid,UK,M,12,E,DT,N,10,?,1,?,PB,?,?,2,'Bachelors (4 years)',No,N,40,one
High,USA,O,16,E,DBA,N,16,?,2,?,PB,?,?,300,'Associates (2 years)',Yes,N,45,one
Low,UK,M,16,E,DBA,N,8,?,0,?,PB,?,?,12,'None (no degree completed)',?,YesExpired,40,two
'Very Low',India,M,8,E,DT,Y,5,?,3,?,PB,?,?,3,Masters,Yes,N,45,one
'Very Low',USA,M,6,E,D,N,6,?,3,?,SG,?,?,12,'Bachelors (4 years)',No,YesExpired,40,zero
Low,USA,M,2,E,AN,N,2,?,3,?,PB,?,?,5,Masters,No,N,40,zero
High,USA,M,17,E,M,Y,10,?,1,?,PB,?,?,10,'None (no degree completed)',?,YesExpired,50,zero
'Very High',USA,M,3,E,DBA,N,2,?,2,?,FG,?,?,8,'Associates (2 years)',Yes,YesValid,40,zero
'Very Low',UK,M,16,E,D,Y,2,?,1,?,LG,?,?,4,'Bachelors (4 years)',Yes,YesValid,40,zero
Low,UK,M,11,I,D,N,6,?,3,?,LG,?,?,40,Masters,Yes,N,45,zero
High,USA,M,8,E,E,N,8,?,6,?,PB,?,?,95,'None (no degree completed)',?,N,40,five
Mid,USA,M,15,E,M,Y,7,?,0,?,PB,?,?,2,'None (no degree completed)',?,N,50,zero
'Very Low',UK,M,9,E,DBA,N,2,?,1,?,PB,?,?,15,'None (no degree completed)',No,YesValid,40,zero
'Very High',USA,M,20,E,M,Y,1,?,0,?,PB,?,?,600,'Bachelors (4 years)',Yes,N,40,zero
'Very Low',UK,M,7,E,DBA,N,7,?,1,?,FG,?,?,300,'None (no degree completed)',?,YesValid,40,zero
'Very High',USA,M,16,E,A,N,10,?,0,?,PB,?,?,3,'Bachelors (4 years)',Yes,N,55,two
Low,USA,M,7,E,DT,N,7,?,2,?,PB,?,?,6,'Bachelors (4 years)',No,N,40,one
'Very High',USA,M,20,E,DT,Y,10,?,1,?,PB,?,?,4,'Bachelors (4 years)',No,N,40,zero
'Very High',USA,M,10,E,A,N,5,?,0,?,PB,?,?,20,'Bachelors (4 years)',Yes,YesExpired,45,two
High,USA,M,5,E,DBA,N,5,?,0,?,PB,?,?,6,Masters,Yes,N,45,five
'Very Low',UK,M,1,E,D,N,1,?,2,?,PB,?,?,3,'Bachelors (4 years)',No,N,8,zero
Low,UK,M,10,E,M,Y,5,?,3,?,PB,?,?,4,'Bachelors (4 years)',Yes,YesExpired,45,zero
'Very Low',Poland,M,10,E,A,N,10,?,0,?,PB,?,?,10,Masters,Yes,YesValid,40,one
High,USA,M,16,E,DT,N,3,?,5,?,PB,?,?,10,'Bachelors (4 years)',Yes,YesValid,50,five
'Very High',USA,M,20,I,A,N,6,?,1,?,PB,?,?,3,'Bachelors (4 years)',Yes,N,40,one
